StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
1,0,201305,4,68.2,1.3,1.3,0.25,0.84,128,45,0.02,0.37,-0.25,0.82,0.56,0.75,-0.01,56.8,79.6
1,0,201306,5.81,78,1.73,1.73,1.69,1.73,377,0,0.89,0.53,0.65,0.84,0.54,0.95,0.17,68.2,87.7
1,0,201307,8.7,77.7,2.87,2.87,3.94,2.87,382,0,1.6,1.55,1.32,1.17,1,1.33,0.46,69.2,86.1
1,0,201308,5.5,77.9,3.3,3.3,2.17,3.3,386,0,0.75,1.65,1.68,0.83,1.57,1.25,0.78,68.7,87.1
1,0,201309,3.2,75,2.97,2.97,0.03,2.92,289,4,-0.16,0.29,1.21,1.22,1.28,0.98,0.39,63.8,86.1
1,0,201310,1.47,64.9,2.4,2.4,-0.79,1.98,86,106,-0.73,-0.66,-0.25,0.83,0.92,0.83,0.48,53.5,76.3
1,0,201311,3.42,51.6,2.11,2.11,-0.14,1.57,3,431,-0.01,-0.54,-0.54,0.76,0.35,1.07,0.4,40,63.3
1,0,201312,7.93,47.9,2.72,2.72,2.5,2.72,4,564,1.23,0.82,0.34,1,1.1,1.22,0.78,37.7,58.2
1,0,201401,2.7,37.3,1.83,1.83,-1.85,0.99,1,887,-1.37,0.22,0.06,-0.18,0.64,0.81,0.51,24.7,49.8
1,0,201402,5.75,47.3,1.82,1.82,0.55,1.17,3,531,0.38,-0.6,0.32,-0.24,0.8,0.43,0.62,35.9,58.7
1,0,201403,5.57,52.3,1.51,1.51,-0.37,0.67,11,429,-0.08,0.1,-0.56,-0.22,0.41,0.64,0.64,39.6,65
1,0,201404,9.67,62.4,2.65,2.65,3.88,2.65,38,132,1.8,1.2,1.14,0.84,0.62,1.15,1.37,50.1,74.8
1,0,201405,4.27,70.2,2.44,2.44,0.19,2.44,172,25,0.17,1.49,1.07,0.92,0.43,1.17,1.39,58.2,82.2
1,0,201406,5.23,77.9,2.56,2.56,1.13,2.56,373,0,0.63,0.42,1.44,0.63,0.63,1.07,1.52,67.9,87.8
1,0,201407,3.36,77.8,-0.4,1.9,-1.19,1.33,377,0,-1.37,-0.29,-0.23,0.69,0.54,0.36,1.25,67.2,88.4
1,0,201408,3.25,79.5,-0.72,1.34,-1.1,0.26,432,0,-0.71,-1.37,-0.7,0.45,0.46,0.09,0.93,67.9,91.1
1,0,201409,2.51,76.3,-1.23,0.62,-1.73,-1.14,325,1,-0.58,-1.04,-1.59,0.31,-0.12,0.01,0.63,65.7,87
1,0,201410,4.38,65.2,-0.73,0.93,1.1,-0.33,89,101,0.89,0.21,-0.26,-0.42,0.46,0.41,0.79,52.1,78.4
1,0,201411,2.98,48.3,-0.8,0.69,-0.43,-0.66,1,522,-0.26,0.35,-0.03,-0.62,0.29,0.36,0.91,35.3,61.2
1,0,201412,6.36,50,-0.42,0.91,0.88,-0.1,8,500,0.64,0.22,0.57,-0.56,0.54,0.17,1.01,39.8,60.2
1,0,201501,4.34,43.7,-0.58,0.62,-0.6,-0.52,5,694,-0.27,0.24,-0.04,-0.26,-0.38,0.4,0.83,32.6,54.8
1,0,201502,4.05,41.5,-0.74,-0.74,-0.67,-0.74,0,693,-0.5,-0.63,-0.14,-0.2,-0.64,0.16,0.36,30.2,52.8
1,0,201503,4.28,57.9,-1.31,-1.31,-1.93,-1.31,37,293,-0.65,-0.86,-0.93,-0.3,-1.04,-0.02,0.41,47,68.9
1,0,201504,7.14,66.1,-0.71,-0.71,1.37,0.17,85,76,1.03,0.26,-0.06,-0.12,-0.3,-0.37,0.53,55.6,76.6
1,0,201505,4.31,71.9,-0.66,-0.66,-0.06,0.21,216,15,0.19,0.87,0.28,0.03,-0.08,-0.38,0.56,60,83.8
1,0,201506,3.27,78.9,-0.93,-0.93,-1.02,-0.56,410,0,-0.49,-0.27,0.46,-0.34,-0.05,-0.64,0.26,68.2,89.6
1,0,201507,4.71,81.7,-1.29,-1.29,-1.35,-1.29,508,0,-0.24,-0.56,-0.41,-0.33,-0.36,-0.47,-0.11,71.3,92.1
1,0,201508,4.94,79.1,-1.02,-1.02,0.39,-0.71,419,0,0.43,-0.01,-0.32,-0.05,-0.18,-0.23,-0.17,68.4,89.9
1,0,201509,2.71,74.5,-1.34,-1.34,-1.27,-1.34,276,4,-0.46,-0.16,-0.34,0.06,-0.5,-0.2,-0.18,63.8,85.2
1,0,201510,2.93,65.1,-1.28,-1.28,-0.23,-1.28,89,102,0.21,-0.26,-0.12,-0.45,-0.4,-0.39,-0.03,53.6,76.7
1,0,201511,6.8,59.3,0.68,0.68,2.03,0.68,30,219,1.34,1.02,0.6,0.19,0.27,0.14,0.25,49.3,69.3
1,0,201512,11.87,56.9,2.33,2.33,5.17,2.33,36,307,2.4,2.49,2.23,1.72,1.53,0.83,0.72,47.1,66.7
50,0,201001,1.93,1.5,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-4.5,7.5
50,0,201002,1.6,10.8,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,3.6,18
50,0,201003,2.61,9.8,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.4,19.2
50,0,201004,1.79,26.9,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,18.3,35.4
50,0,201005,1.16,41.3,-99.99,-99.99,-99.99,-99.99,"-9,999","-9,999",-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,31.6,51
